
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.200
  alpha =   -4.800    CLtot =    0.107
  beta  =    0.000

  Sref  =     0.93475
  Bref  =     3.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.521386E-01     0.145190E-01
    0.0357  0.509915E-01     0.135982E-01
    0.1071  0.486212E-01     0.118194E-01
    0.1786  0.460645E-01     0.101286E-01
    0.2500  0.432678E-01     0.853335E-02
    0.3214  0.401987E-01     0.704288E-02
    0.3929  0.368373E-01     0.566724E-02
    0.4643  0.331722E-01     0.441707E-02
    0.5357  0.292002E-01     0.330327E-02
    0.6071  0.249271E-01     0.233671E-02
    0.6786  0.203713E-01     0.152781E-02
    0.7500  0.155714E-01     0.885976E-03
    0.8214  0.106034E-01     0.418568E-03
    0.8929  0.562713E-02     0.128737E-03
    0.9643  0.105474E-02     0.941737E-05
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.521387E-01    -0.145190E-01
   -0.0357  0.509915E-01    -0.135982E-01
   -0.1071  0.486212E-01    -0.118194E-01
   -0.1786  0.460645E-01    -0.101286E-01
   -0.2500  0.432678E-01    -0.853335E-02
   -0.3214  0.401987E-01    -0.704288E-02
   -0.3929  0.368373E-01    -0.566724E-02
   -0.4643  0.331722E-01    -0.441707E-02
   -0.5357  0.292002E-01    -0.330327E-02
   -0.6071  0.249271E-01    -0.233671E-02
   -0.6786  0.203713E-01    -0.152781E-02
   -0.7500  0.155714E-01    -0.885976E-03
   -0.8214  0.106034E-01    -0.418568E-03
   -0.8929  0.562713E-02    -0.128737E-03
   -0.9643  0.105474E-02    -0.941737E-05
   -1.0000   0.00000          0.00000    
