  
       XFOIL         Version 6.96
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.056     Re =     1.205 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4454   0.00711   0.00172  -0.1045   0.5478   0.4939
   1.000   0.5575   0.00726   0.00186  -0.1048   0.5267   0.5114
   2.000   0.6679   0.00749   0.00206  -0.1049   0.5059   0.5291
   3.000   0.7773   0.00773   0.00233  -0.1047   0.4860   0.5471
   4.000   0.8838   0.00804   0.00268  -0.1041   0.4659   0.5657
   5.000   0.9884   0.00838   0.00310  -0.1031   0.4461   0.5853
   6.000   1.0860   0.00884   0.00359  -0.1008   0.4161   0.6056
   7.000   1.1686   0.00948   0.00421  -0.0956   0.3764   0.6273
   8.000   1.2437   0.01034   0.00507  -0.0892   0.3358   0.6505
   9.000   1.2962   0.01193   0.00649  -0.0793   0.2701   0.6763
  10.000   1.3007   0.01531   0.00942  -0.0630   0.1639   0.7066
